egiftID,Main_id
AC0485,98534-5
AC0486,98611-1
AC0487,98653-5
AC0488,98837-1
AC0489,98847-8
AC0490,99298-5
AC0491,10076-A
AC0492,10204-A
AC0493,10320-A
AC0494,10528-A
AC0495,10983-A
AC0496,11034-A
AC0497,11238-A
AC0498,11315-A
AC0500,11672-A
AC0501,11813-A
AC0502,12048-A
AC0503,12093-A
AC0504,12126-A
AC0505,12127-A
AC0506,12129-A
AC0507,12244-A
AC0508,12449-A
AC0509,12481-A
AC0510,12653-A
AC0511,12765-A
AC0512,12831-A
AC0513,13012-A
AC0514,13065-A
AC0515,13355-A
AC0516,13357-A
AC0517,13571-A
AC0518,13692-A
AC0519,13789-A
AC0520,13866-A
AC0521,14079-A
AC0522,14143-A
AC0523,14342-A
AC0524,14890-A
AC0525,15011-A
AC0526,15100-A
AC0527,15109-A
AC0528,15280-A
AC0529,15470-A
AC0530,15499-A
AC0531,15755-A
AC0532,16138-A
AC0533,16207-A
AC0534,16463-A
AC0535,16569-A
AC0536,16604-A
AC0537,16757-A
AC0538,16817-A
AC0539,16830-A
AC0540,16844-A
AC0541,16965-A
AC0542,17238-A
AC0543,17239-A
AC0544,17241-A
AC0545,17323-A
AC0546,17489-A
AC0547,18044-A
AC0548,18052-A
AC0549,18207-A
AC0550,18420-A
AC0551,18876-A
AC0552,18904-A
AC0553,19017-A
AC0554,19159-A
AC0555,19331-A
AD0001,00642-8
AD0002,02818-9
AD0003,05145-7
AD0004,05504-2
AD0005,06668-8
AD0006,10048-9
AD0007,10246-1
AD0008,10258-4
AD0009,11615-6
AD0010,12311-0
AD0011,14299-7
AD0012,14622-3
AD0013,14680-9
AD0014,14695-1
AD0015,14894-6
AD0016,14895-9
AD0018,15818-5
AD0020,16315-4
AD0021,18002-7
AD0022,18534-9
AD0023,18610-2
AD0024,18697-9
AD0025,18994-7
AD0026,19189-6
AD0027,19325-0
AD0028,19416-5
AD0029,21223-8
AD0030,21251-3
AD0032,23170-1
AD0033,23181-1
AD0034,23650-2
AD0035,23734-9
AD0036,24287-1
AD0037,17595-1
AD0039,27977-6
AD0040,29063-2
AD0041,29266-9
AD0042,29291-5
AD0044,29434-0
AD0045,30387-5
AD0046,30585-7
AD0047,30587-3
AD0048,26585-8
AD0049,26911-3
AD0050,32501-5
AD0051,32603-0
AD0052,32661-6
AD0053,32788-0
AD0054,32972-3
AD0055,25343-3
AD0056,36107-9
AD0057,37226-2
AD0058,37657-2
AD0059,37662-4
AD0062,35092-5
AD0063,41073-9
AD0064,41099-1
AD0065,41125-9
AD0066,41266-9
AD0067,41343-5
AD0068,41380-4
AD0069,41686-9
AD0070,41998-9
AD0071,42148-5
AD0072,42268-8
AD0073,42291-8
AD0074,16994-1
AD0075,42854-3
AD0076,43640-9
AD0077,48655-6
AD0078,49372-7
AD0079,49534-3
AD0080,49927-1
AD0081,43750-5
AD0082,50344-2
AD0083,43753-4
AD0084,50381-1
AD0085,50530-1
AD0086,43859-1
AD0087,50699-9
AD0088,50702-4
AD0089,51194-2
AD0090,52042-5
AD0091,52066-1
AD0092,52109-7
AD0093,52121-7
AD0094,52343-5
AD0095,52415-9
AD0096,53022-4
AD0097,53249-7
AD0098,53331-5
AD0099,53437-2
AD0100,53534-2
AD0102,54051-5
AD0103,54169-5
AD0104,54283-0
AD0105,54933-8
AD0106,55205-3
AD0107,55488-6
AD0108,55625-3
AD0109,55905-6
AD0111,56365-7
AD0112,57037-8
AD0113,57230-5
AD0114,57336-2
AD0115,57504-3
AD0116,57619-4
AD0117,57724-5
AD0118,58077-9
AD0119,58215-9
AD0120,58268-3
AD0121,58611-3
AD0122,58811-1
AD0123,58817-9
AD0124,60412-1
AD0126,59213-6
AD0127,59339-7
AD0128,60028-0
AD0129,70118-9
AD0130,70603-2
AD0131,70889-4
AD0132,70935-6
AD0133,71103-0
AD0135,71752-6
AD0136,72545-3
AD0137,72563-1
AD0138,73011-8
AD0139,73227-1
AD0140,73379-1
AD0141,73405-9
